chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chrIII	72161	72383	223	32	144	0.646	1.377
chrIII	76902	77009	108	10	57	0.528	1.333
chrIII	87871	87961	91	11	45	0.495	2.026
chrIII	272368	272560	193	17	85	0.44	1.829
chrIII	272724	272850	127	8	49	0.386	1.699
chrIII	273477	273585	109	10	48	0.44	1.922
chrIII	273733	274155	423	36	175	0.414	2.018
chrIII	274290	274540	251	22	107	0.426	1.938
chrIII	274678	276530	1853	149	757	0.409	1.954
chrIII	290331	291095	765	60	313	0.409	1.895
chrIII	291252	291866	615	45	247	0.402	1.821
chrIII	406471	406604	134	14	62	0.463	1.954
chrIII	476006	476175	170	14	88	0.518	1.261
chrIII	792727	792839	113	10	54	0.478	1.569
chrIII	853519	853721	203	30	129	0.635	1.566
chrIII	1072400	1072596	197	11	89	0.452	1.118
chrIII	1085849	1085991	143	10	58	0.406	1.986
chrIII	1095625	1095749	125	8	54	0.432	1.403
chrIII	1096111	1096223	113	9	52	0.46	1.562
chrIII	1096348	1096524	177	11	71	0.401	1.726
chrIII	1191218	1191370	153	12	77	0.503	1.244
chrIII	1191578	1191674	97	9	49	0.505	1.47
chrIII	1193650	1193754	105	15	64	0.61	1.577
chrIII	1205524	1205679	156	15	90	0.577	1.176
chrIII	1209231	1209358	128	13	61	0.477	1.939
chrIII	1239699	1239930	232	16	102	0.44	1.511
chrIII	1240068	1240205	138	8	54	0.391	1.548
chrIII	1240332	1240463	132	13	62	0.47	1.793
chrIII	1339313	1339479	167	13	76	0.455	1.513
chrIII	1415743	1415853	111	11	60	0.541	1.461
chrIII	1420194	1420411	218	21	125	0.573	1.181
chrIII	1421581	1421760	180	20	109	0.606	1.215
chrIII	1478937	1479068	132	8	55	0.417	1.479
chrIII	1503985	1504127	143	6	75	0.524	0.611
chrIII	1531999	1532205	207	14	96	0.464	1.267
chrIII	1577711	1577839	129	17	80	0.62	1.371
chrIII	1579121	1579258	138	18	84	0.609	1.421
chrIII	1613286	1613472	187	30	116	0.62	1.68
chrIII	1615207	1615673	467	36	197	0.422	1.74
chrIII	1751429	1751584	156	14	67	0.429	1.957
chrIII	1841810	1841953	144	15	68	0.472	1.883
chrIII	1876873	1876958	86	11	49	0.57	1.593
chrIII	1879520	1879697	178	16	84	0.472	1.615
chrIII	1893348	1893461	114	6	61	0.535	0.783
chrIII	1897304	1897396	93	9	44	0.473	1.788
chrIII	1902776	1902981	206	15	89	0.432	1.746
chrIII	1906374	1906496	123	10	49	0.398	2.121
chrIII	1906646	1906845	200	26	92	0.46	2.462
chrIII	1927730	1927831	102	9	52	0.51	1.36
chrIII	1946114	1946225	112	5	46	0.411	1.061
chrIII	2008293	2008512	220	27	121	0.55	1.628
chrIII	2009653	2009970	318	43	164	0.516	2.035
chrIII	2010201	2010314	114	20	62	0.544	2.375
chrIII	2011511	2011916	406	44	211	0.52	1.606
chrIII	2012079	2012353	275	30	149	0.542	1.495
chrIII	2013451	2013730	280	26	152	0.543	1.335
chrIII	2137430	2137536	107	14	57	0.533	1.891
chrIII	2154672	2155020	349	29	166	0.476	1.469
chrIII	2188096	2188208	113	13	54	0.478	2.015
chrIII	2196614	2196726	113	8	55	0.487	1.199
chrIII	2196983	2197199	217	13	93	0.429	1.317
chrIII	2200544	2201548	1005	66	427	0.425	1.476
chrIII	2202776	2203042	267	20	127	0.476	1.324
chrIII	2203189	2203389	201	12	82	0.408	1.438
chrIII	2206418	2206527	110	10	58	0.527	1.447
chrIII	2359780	2360288	509	49	218	0.428	2.104
chrIII	2360708	2360826	119	15	65	0.546	1.71
chrIII	2381698	2381839	142	16	81	0.57	1.396
chrIII	2382576	2382737	162	17	92	0.568	1.304
chrIII	2413456	2413586	131	13	69	0.527	1.434
chrIII	2418909	2419005	97	6	42	0.433	1.369
chrIII	2478887	2479022	136	18	75	0.551	1.766
chrIII	2515380	2515543	164	15	88	0.537	1.273
chrIII	2515664	2515823	160	10	86	0.538	1.136
chrIII	2545737	2545933	197	17	89	0.452	1.691
chrIII	2566883	2567120	238	19	103	0.433	1.709
chrIII	2574808	2574939	132	10	59	0.447	1.521
chrIII	2598270	2598367	98	11	49	0.5	1.797
chrIII	2599347	2599524	178	12	72	0.404	1.994
chrIII	2615638	2616258	621	46	267	0.43	1.604
chrIII	2661813	2661937	125	13	57	0.456	2.006
chrIII	2664310	2664389	80	8	39	0.488	1.684
chrIII	2704226	2704416	191	17	87	0.455	1.722
chrIII	2708064	2708135	72	5	32	0.444	1.457
chrIII	2733643	2733762	120	10	55	0.458	1.592
chrIII	2772643	2772748	106	11	54	0.509	1.602
chrIII	2781363	2781476	114	9	58	0.509	1.233
chrIII	2791930	2792224	295	24	128	0.434	1.729
chrIII	2799804	2800255	452	34	187	0.414	1.785
chrIII	2801040	2801326	287	27	139	0.484	1.608
chrIII	2831665	2831793	129	11	65	0.504	1.5
chrIII	2846546	2846754	209	11	84	0.402	1.306
chrIII	2947404	2947555	152	16	80	0.526	1.621
chrIII	2997242	2997326	85	10	50	0.588	1.369
chrIII	2999903	3000137	235	24	117	0.498	1.756
chrIII	3000682	3000817	136	12	68	0.5	1.432
chrIII	3005808	3005918	111	10	60	0.541	1.285
chrIII	3011459	3011761	303	24	121	0.399	1.99
chrIII	3012298	3012445	148	21	80	0.541	1.962
chrIII	3012931	3013070	140	14	66	0.471	1.885
chrIII	3014054	3014161	108	11	48	0.444	2.062
chrIII	3016625	3016766	142	11	59	0.415	1.838
chrIII	3035090	3035245	156	12	65	0.417	1.793
chrIII	3035662	3035776	115	10	50	0.435	1.852
chrIII	3038188	3038321	134	10	62	0.463	1.4
chrIII	3088384	3088492	109	10	49	0.45	1.823
chrIII	3290797	3290910	114	9	56	0.491	1.31
chrIII	3291295	3291370	76	7	38	0.5	1.583
chrIII	3329520	3329640	121	14	70	0.579	1.393
