chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr10_random	13151	13675	525	42	309	0.589	0.928
chr10	32224	32802	579	56	401	0.693	0.834
chr10	32950	33247	298	60	218	0.732	1.505
chr10	114411	114484	74	4	44	0.595	0.645
chr10	187260	187458	199	22	118	0.593	1.263
chr10	210600	211164	565	63	402	0.712	0.893
chr10	211784	212532	749	112	592	0.79	0.964
chr10	232913	233725	813	114	617	0.759	0.976
chr10	234560	234689	130	13	91	0.7	0.833
chr10	243203	243776	574	71	387	0.674	1.095
chr10	282483	283054	572	80	439	0.767	0.967
chr10	289459	289682	224	38	186	0.83	0.998
chr10	290530	290831	302	38	221	0.732	0.952
chr10	330913	331106	194	33	157	0.809	1.04
chr10	365012	365463	452	58	326	0.721	0.99
chr10	384258	385088	831	80	580	0.698	0.8
chr10	408272	408599	328	45	245	0.747	1.002
chr10	447411	448193	783	98	580	0.741	0.949
chr10	464432	464544	113	14	83	0.735	1.067
chr10	484294	484480	187	21	136	0.727	0.85
chr10	490406	490575	170	15	108	0.635	0.882
chr10	493316	493441	126	10	77	0.611	1.014
chr10	496719	496834	116	13	74	0.638	1.109
chr10	504327	505353	1027	121	713	0.694	1.012
chr10	516850	518322	1473	118	1032	0.701	0.657
chr10	521555	522330	776	54	491	0.633	0.711
chr10	525891	526092	202	10	113	0.559	0.651
chr10	527360	528095	736	50	459	0.624	0.7
chr10	533426	533916	491	33	283	0.576	0.814
chr10	541687	542016	330	24	200	0.606	0.793
chr10	545490	546496	1007	73	651	0.646	0.701
chr10	546912	547631	720	42	454	0.631	0.596
chr10	548694	549074	381	34	253	0.664	0.812
chr10	549677	550273	597	35	344	0.576	0.711
chr10	551988	552270	283	22	180	0.636	0.78
chr10	554614	554887	274	37	199	0.726	1.025
chr10	555109	555450	342	23	231	0.675	0.59
chr10	555752	555901	150	15	99	0.66	0.934
chr10	564576	565116	541	30	320	0.591	0.651
chr10	584079	584238	160	27	123	0.769	1.155
chr10	585204	586063	860	93	580	0.674	0.968
chr10	587328	588738	1411	169	1011	0.717	0.935
chr10	640211	640487	277	27	185	0.668	0.878
chr10	650845	651227	383	14	181	0.473	0.655
chr10	652833	653098	266	13	158	0.594	0.554
chr10	653422	653610	189	11	97	0.513	0.912
chr10	654369	654586	218	12	107	0.491	0.916
chr10	671539	671779	241	24	168	0.697	0.827
chr10	671951	672242	292	17	177	0.606	0.635
chr10	672537	672668	132	8	78	0.591	0.702
chr10	673471	674569	1099	58	688	0.626	0.539
chr10	677378	678506	1129	130	807	0.715	0.907
chr10	691336	691839	504	65	367	0.728	0.974
chr10	699359	700466	1108	129	789	0.712	0.921
chr10	701604	701761	158	11	84	0.532	0.999
chr10	708240	708834	595	71	418	0.703	0.973
chr10	709635	710242	608	73	424	0.697	0.989
chr10	728149	728526	378	22	189	0.5	0.932
chr10	736049	736620	572	63	414	0.724	0.87
chr10	747475	747859	385	48	273	0.709	0.992
chr10	769391	769665	275	20	171	0.622	0.758
chr10	771707	771851	145	13	105	0.724	0.732
chr10	772510	772731	222	14	153	0.689	0.541
chr10	773535	773713	179	18	97	0.542	1.371
chr10	774004	774305	302	16	165	0.546	0.724
chr10	775280	776049	770	64	517	0.671	0.74
chr10	776321	776476	156	13	85	0.545	1.123
chr10	795868	795950	83	8	47	0.566	1.339
chr10	798269	798460	192	14	131	0.682	0.628
chr10	799343	799542	200	12	110	0.55	0.833
chr10	813861	813969	109	9	64	0.587	0.962
