chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr1	3713	3857	145	14	72	0.497	1.586
chr1	20960	21279	320	21	156	0.488	1.119
chr1	52465	52638	174	18	100	0.575	1.396
chr1	57458	57601	144	13	72	0.5	1.625
chr1	57740	58924	1185	85	558	0.471	1.297
chr1	67362	67706	345	30	176	0.51	1.341
chr1	75648	76449	802	81	421	0.525	1.466
chr1	84018	84590	573	40	279	0.487	1.209
chr1	86849	87173	325	39	176	0.542	1.639
chr1	103528	103698	171	12	74	0.433	1.509
chr1	104740	105198	459	32	245	0.534	1.007
chr1	113295	113730	436	37	215	0.493	1.4
chr1	117292	118545	1254	123	663	0.529	1.415
chr1	120276	120875	600	52	305	0.508	1.357
chr1	128200	128491	292	26	137	0.469	1.62
chr1	149075	149634	560	46	275	0.491	1.39
chr1	153057	153788	732	35	307	0.419	1.09
chr1	155091	155851	761	65	381	0.501	1.367
chr1	156816	157141	326	21	153	0.469	1.176
chr1	167221	167787	567	54	297	0.524	1.394
chr1	172720	172795	76	9	42	0.553	1.551
chr1	177047	178045	999	54	450	0.45	1.069
chr1	185334	185618	285	42	168	0.589	1.702
chr1	187281	187664	384	48	229	0.596	1.468
chr1	195937	196353	417	40	208	0.499	1.547
chr1	205063	205803	741	51	336	0.453	1.339
chr1	206832	207223	392	36	208	0.531	1.306
chr1	207841	208025	185	19	92	0.497	1.727
chr1	211090	211291	202	12	98	0.485	1.045
chr1	219601	220960	1360	107	667	0.49	1.32
chr1	223895	224269	375	29	180	0.48	1.386
chr1	245778	245936	159	10	64	0.403	1.567
chr1	257184	257474	291	27	154	0.529	1.344
chr1	262079	262206	128	7	51	0.398	1.378
chr1	262835	263135	301	16	137	0.455	1.026
chr1	268122	268223	102	9	54	0.529	1.275
chr1	268843	268973	131	14	69	0.527	1.544
chr1	269137	269591	455	41	238	0.523	1.339
chr1	295378	295573	196	15	93	0.474	1.485
chr1	298854	299378	525	48	286	0.545	1.271
chr1	310499	310942	444	31	211	0.475	1.243
chr1	311378	312754	1377	119	738	0.536	1.205
chr1	322690	323075	386	30	170	0.44	1.605
chr1	337237	337502	266	23	149	0.56	1.193
chr1	340911	341100	190	17	106	0.558	1.165
chr1	341280	341794	515	53	289	0.561	1.312
chr1	346304	346560	257	31	149	0.58	1.477
chr1	358211	358347	137	12	68	0.496	1.557
chr1	367013	367117	105	14	61	0.581	1.655
chr1	370023	370108	86	8	30	0.349	3.058
chr1	370479	370734	256	23	136	0.531	1.274
chr1	404224	404449	226	17	108	0.478	1.334
chr1	411872	411978	107	10	65	0.607	1.108
chr1	430489	430580	92	9	46	0.5	1.577
chr1	431519	431662	144	13	54	0.375	2.571
chr1	460403	460616	214	24	117	0.547	1.504
chr1	464197	464546	350	28	175	0.5	1.295
chr1	469856	470008	153	12	73	0.477	1.385
chr1	472369	472496	128	9	63	0.492	1.161
chr1	472834	472962	129	12	67	0.519	1.38
chr1	474450	474672	223	21	114	0.511	1.443
chr1	480740	480879	140	8	63	0.45	1.136
chr1	482452	482719	268	14	120	0.448	1.112
chr1	487037	487265	229	18	103	0.45	1.636
chr1	488742	489049	308	22	150	0.487	1.218
chr1	490333	490494	162	17	86	0.531	1.666
chr1	490976	491153	178	14	80	0.449	1.607
chr1	521072	521445	374	31	171	0.457	1.586
chr1	526194	526908	715	45	325	0.455	1.226
chr1	532105	532565	461	26	213	0.462	1.065
chr1	536647	537137	491	47	258	0.525	1.401
chr1	551393	551521	129	11	59	0.457	1.642
chr1	565334	566051	718	42	314	0.437	1.227
chr1	566328	566723	396	30	201	0.508	1.177
chr1	566934	567371	438	41	232	0.53	1.338
chr1	568991	569138	148	11	72	0.486	1.292
chr1	569381	570413	1033	84	495	0.479	1.417
chr1	574284	574715	432	41	224	0.519	1.618
chr1	575173	575268	96	6	46	0.479	1.123
chr1	582463	582568	106	14	57	0.538	1.832
chr1	584189	584477	289	22	133	0.46	1.49
chr1	588268	588529	262	21	123	0.469	1.456
chr1	588723	589054	332	27	170	0.512	1.245
chr1	592214	592721	508	40	248	0.488	1.436
chr1	618448	619334	887	85	446	0.503	1.521
chr1	619663	620259	597	39	269	0.451	1.292
chr1	620859	621151	293	24	141	0.481	1.417
chr1	621441	622060	620	43	268	0.432	1.495
chr1	624104	624299	196	19	92	0.469	1.781
chr1	641596	641736	141	13	73	0.518	1.378
chr1	651718	651840	123	9	61	0.496	1.216
chr1	657919	658096	178	17	98	0.551	1.391
chr1	671429	671617	189	12	84	0.444	1.297
chr1	673328	673576	249	15	99	0.398	1.528
chr1	707761	708226	466	26	215	0.461	1.049
chr1	729537	729678	142	11	67	0.472	1.514
chr1	729807	730359	553	40	245	0.443	1.521
chr1	739585	739891	307	26	139	0.453	1.672
chr1	748867	749091	225	12	87	0.387	1.429
chr1	755926	756288	363	32	196	0.54	1.209
chr1	761377	761702	326	31	171	0.525	1.393
chr1	787331	788215	885	87	468	0.529	1.414
chr1	790389	791185	797	74	412	0.517	1.392
chr1	795333	795468	136	10	60	0.441	1.511
chr1	798119	798513	395	30	192	0.486	1.314
chr1	799082	799344	263	25	131	0.498	1.543
chr1	824093	824274	182	13	86	0.473	1.291
chr1	852910	853793	884	70	449	0.508	1.271
chr1	859478	859912	435	27	181	0.416	1.444
chr1	877361	877690	330	19	145	0.439	1.32
chr1	892123	892465	343	22	157	0.458	1.226
chr1	899040	899242	203	18	107	0.527	1.282
chr1	909541	909836	296	22	116	0.392	1.973
chr1	917790	917921	132	12	66	0.5	1.523
chr1	918319	918431	113	11	58	0.513	1.507
chr1	937923	938067	145	11	70	0.483	1.341
chr1	943261	943354	94	12	53	0.564	1.679
chr1	954884	955535	652	55	344	0.528	1.213
chr1	957519	957970	452	35	244	0.54	1.102
chr1	958121	958208	88	9	41	0.466	1.941
chr1	958703	958993	291	25	137	0.471	1.554
chr1	967810	968385	576	44	273	0.474	1.374
chr1	976331	976479	149	13	70	0.47	1.583
chr1	978608	978798	191	9	79	0.414	1.124
chr1	982708	982861	154	13	84	0.545	1.136
chr1	987075	987278	204	14	105	0.515	1.064
chr1	987539	988089	551	38	256	0.465	1.293
chr1	991199	991581	383	38	200	0.522	1.473
chr1	993320	993547	228	17	105	0.461	1.444
chr1	1004059	1004200	142	11	59	0.415	1.838
chr1	1018327	1018462	136	14	71	0.522	1.526
chr1	1028674	1028860	187	23	106	0.567	1.685
chr1	1035905	1036157	253	28	134	0.53	1.581
chr1	1036321	1036487	167	10	62	0.371	1.831
chr1	1050959	1051337	379	35	183	0.483	1.584
