chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr2L	293809	294160	352	40	207	0.588	1.316
chr2L	491044	491170	127	15	53	0.417	2.761
chr2L	1077547	1077831	285	30	151	0.53	1.503
chr2L	1420324	1420466	143	21	79	0.552	1.927
chr2L	2808163	2808264	102	18	58	0.569	2.25
chr2L	2874292	2874414	123	14	62	0.504	1.809
chr2L	2999415	2999615	201	20	104	0.517	1.489
chr2L	3354765	3354887	123	17	69	0.561	1.775
chr2L	3806340	3806651	312	34	153	0.49	1.88
chr2L	5404296	5404402	107	14	55	0.514	1.981
chr2L	5982546	5982670	125	15	68	0.544	1.658
chr2L	6082546	6082651	106	15	58	0.547	1.891
chr2L	6915140	6915298	159	28	107	0.673	1.587
chr2L	6970420	6971029	610	100	413	0.677	1.458
chr2L	7035668	7036009	342	61	221	0.646	1.753
chr2L	7333810	7334182	373	46	197	0.528	1.769
chr2L	8735635	8735805	171	22	88	0.515	1.943
chr2L	8825631	8825841	211	31	122	0.578	1.797
chr2L	9560187	9560290	104	19	65	0.625	1.926
chr2L	10003968	10004186	219	18	107	0.489	1.387
chr2L	11358809	11358958	150	23	91	0.607	1.701
chr2L	12493250	12493372	123	15	60	0.488	2.059
chr2L	13203976	13204088	113	14	56	0.496	2.028
chr2L	16352159	16352495	337	32	149	0.442	1.947
chr2L	16352922	16353103	182	18	88	0.484	1.714
chr2L	16485729	16486110	382	44	202	0.529	1.656
chr2L	19107568	19107694	127	17	72	0.567	1.752
chr2L	19518802	19519136	335	32	174	0.519	1.495
chr2L	21069859	21070044	186	27	105	0.565	1.826
chr2L	22404064	22404541	478	56	292	0.611	1.277
chr2L	22791099	22791600	502	62	308	0.614	1.335
chr2L	22799308	22799762	455	57	282	0.62	1.322
chr2RHet	1862799	1863032	234	33	155	0.662	1.339
chr2R	41462	41598	137	13	61	0.445	1.915
chr2R	168597	168706	110	11	49	0.445	2.023
chr2R	311135	311646	512	60	311	0.607	1.289
chr2R	2083506	2083633	128	15	68	0.531	1.661
chr2R	2174267	2174363	97	17	67	0.691	1.486
chr2R	2186114	2186236	123	17	55	0.447	2.788
chr2R	2333439	2333840	402	49	248	0.617	1.303
chr2R	2498131	2498266	136	13	61	0.449	1.943
chr2R	2618262	2618495	234	21	100	0.427	2.621
chr2R	3391766	3391933	168	25	102	0.607	1.62
chr2R	3850212	3850618	407	49	247	0.607	1.317
chr2R	3876111	3876252	142	13	61	0.43	1.989
chr2R	4747776	4748094	319	36	193	0.605	1.236
chr2R	5032407	5032607	201	30	127	0.632	1.53
chr2R	5816911	5817134	224	30	109	0.487	2.267
chr2R	6012710	6012966	257	24	126	0.49	1.564
chr2R	6079716	6080095	380	50	218	0.574	1.6
chr2R	7092193	7092414	222	19	103	0.464	1.594
chr2R	7340185	7340302	118	20	74	0.627	1.77
chr2R	8884433	8884652	220	31	120	0.545	1.929
chr2R	8926318	8926626	309	33	150	0.485	1.813
chr2R	9781295	9781487	193	25	118	0.611	1.392
chr2R	9894420	9894674	255	41	144	0.565	2.017
chr2R	10107825	10107977	153	13	71	0.464	1.7
chr2R	10176949	10177049	101	15	62	0.614	1.591
chr2R	10243759	10243922	164	26	99	0.604	1.781
chr2R	11721309	11721440	132	15	73	0.553	1.535
chr2R	13332150	13332310	161	20	77	0.478	2.19
chr2R	13345364	13345509	146	14	69	0.473	1.718
chr2R	13345819	13345969	151	15	71	0.47	1.827
chr2R	13711025	13711161	137	21	79	0.577	1.847
chr2R	16216102	16216509	408	64	273	0.669	1.452
chr2R	16668751	16669437	687	58	343	0.499	1.67
chr2R	16944650	16944749	100	12	51	0.51	1.852
chr2R	17249504	17249994	491	57	252	0.513	1.772
chr2R	17266428	17266641	214	24	111	0.519	1.678
chr2R	17986612	17987115	504	60	269	0.534	1.677
chr2R	19547035	19547131	97	16	58	0.598	1.96
chr2R	19738191	19738330	140	21	101	0.721	1.179
chr2R	19738496	19738617	122	16	62	0.508	2.085
chr2R	19830441	19830662	222	24	109	0.491	1.952
chr2R	20130800	20130930	131	16	78	0.595	1.439
chr2R	20251207	20251529	323	32	162	0.502	1.576
chr2R	20854271	20854444	174	21	85	0.489	2.037
chr2R	20898934	20899086	153	19	79	0.516	1.9
chr3LHet	732025	732162	138	22	94	0.681	1.427
