chr	start	end	length	CpGcount	GCcontent	pctGC	obsExp
chr10_random	39098	39195	98	6	55	0.561	0.778
chr10_random	53029	53542	514	45	356	0.693	0.73
chr10	83098	83818	721	32	403	0.559	0.572
chr10	84002	84165	164	12	97	0.591	0.841
chr10	84527	85302	776	65	538	0.693	0.702
chr10	109652	110193	542	53	369	0.681	0.866
chr10	112133	112621	489	51	339	0.693	0.88
chr10	170265	170720	456	32	256	0.561	0.893
chr10	170865	172549	1685	230	1263	0.75	0.984
chr10	232994	233152	159	10	74	0.465	1.193
chr10	303778	303905	128	6	64	0.5	0.769
chr10	309183	309290	108	8	68	0.63	0.75
chr10	311809	311998	190	10	113	0.595	0.596
chr10	313315	313465	151	11	92	0.609	0.791
chr10	313625	313770	146	11	87	0.596	0.991
chr10	314003	314088	86	7	60	0.698	0.672
chr10	317172	317614	443	24	248	0.56	0.692
chr10	324493	324801	309	14	171	0.553	0.594
chr10	336533	336829	297	30	210	0.707	0.833
chr10	338952	339176	225	16	105	0.467	1.326
chr10	347295	347450	156	12	106	0.679	0.667
chr10	357490	359444	1955	224	1329	0.68	1.084
chr10	362859	363160	302	22	185	0.613	0.783
chr10	363991	364131	141	10	85	0.603	0.794
chr10	374260	374304	45	4	28	0.622	1
chr10	374491	374654	164	9	90	0.549	0.747
chr10	377365	377535	171	13	104	0.608	0.83
chr10	380268	384009	3742	271	2158	0.577	0.975
chr10	384288	384904	617	26	346	0.561	0.54
chr10	385107	385484	378	27	237	0.627	0.733
chr10	386975	387324	350	24	205	0.586	0.816
chr10	393584	393874	291	23	183	0.629	0.82
chr10	394127	394267	141	7	69	0.489	0.838
chr10	395132	395440	309	14	180	0.583	0.535
chr10	399255	399524	270	18	169	0.626	0.686
chr10	400345	400443	99	11	68	0.687	0.955
chr10	401791	401915	125	6	81	0.648	0.458
chr10	402171	402304	134	6	77	0.575	0.564
chr10	403697	404144	448	37	310	0.692	0.692
chr10	412019	412412	394	27	243	0.617	0.723
chr10	413554	413680	127	5	76	0.598	0.447
chr10	416236	416742	507	17	246	0.485	0.57
chr10	421124	421294	171	7	100	0.585	0.491
chr10	421510	422236	727	32	424	0.583	0.519
chr10	422818	423146	329	13	164	0.498	0.668
chr10	425711	426671	961	49	510	0.531	0.724
chr10	428207	428526	320	17	187	0.584	0.622
chr10	428659	428847	189	16	113	0.598	1.337
chr10	434997	435217	221	14	136	0.615	0.67
chr10	443088	443167	80	7	47	0.588	1.037
chr10	449713	450021	309	21	200	0.647	0.676
chr10	451810	452033	224	12	133	0.594	0.61
chr10	453460	453727	268	12	169	0.631	0.452
chr10	454098	454558	461	18	267	0.579	0.472
chr10	454903	455118	216	18	124	0.574	1.016
chr10	455333	455615	283	13	146	0.516	0.694
chr10	455844	456548	705	49	413	0.586	0.81
chr10	456737	456904	168	10	103	0.613	0.656
chr10	457957	458444	488	23	249	0.51	0.739
chr10	458688	458862	175	12	106	0.606	0.752
chr10	460960	461356	397	22	190	0.479	0.981
chr10	475223	475338	116	8	67	0.578	0.884
chr10	480145	480480	336	14	175	0.521	0.627
chr10	488298	488580	283	11	132	0.466	0.717
chr10	506539	506720	182	10	100	0.549	0.772
chr10	508241	508472	232	19	151	0.651	0.774
chr10	509383	509599	217	13	119	0.548	0.834
chr10	510470	510568	99	5	59	0.596	0.62
chr10	515795	516108	314	19	200	0.637	0.612
chr10	516414	517138	725	35	411	0.567	0.61
chr10	517720	518155	436	19	260	0.596	0.492
chr10	519279	519529	251	15	154	0.614	0.642
chr10	520744	521374	631	38	381	0.604	0.665
chr10	522287	522411	125	6	73	0.584	0.568
chr10	522719	522930	212	9	124	0.585	0.5
chr10	523359	523488	130	8	77	0.592	0.77
chr10	524667	525056	390	17	204	0.523	0.638
chr10	525687	526466	780	34	460	0.59	0.509
chr10	527097	527220	124	8	78	0.629	0.652
chr10	538982	539172	191	11	98	0.513	1.05
chr10	540236	540961	726	27	382	0.526	0.546
chr10	542995	543635	641	29	349	0.544	0.612
chr10	544711	545818	1108	47	638	0.576	0.514
chr10	546391	546764	374	15	203	0.543	0.545
chr10	546950	547273	324	15	180	0.556	0.6
chr10	547562	547723	162	6	100	0.617	0.422
chr10	547892	547997	106	9	67	0.632	0.855
chr10	549409	549515	107	12	76	0.71	1.081
chr10	550323	550656	334	16	207	0.62	0.514
chr10	556119	556196	78	6	50	0.641	0.75
chr10	558755	559010	256	12	140	0.547	0.627
chr10	564334	564672	339	15	190	0.56	0.578
chr10	565938	566064	127	12	83	0.654	0.895
chr10	566948	567331	384	23	205	0.534	0.883
chr10	567504	567762	259	15	148	0.571	0.712
chr10	579179	579465	287	9	143	0.498	0.507
chr10	579880	580016	137	9	75	0.547	0.877
chr10	606918	607262	345	17	202	0.586	0.583
chr10	619582	619729	148	9	74	0.5	1.009
chr10	620384	621306	923	63	572	0.62	0.824
chr10	623085	623311	227	13	139	0.612	0.611
chr10	629972	630141	170	10	97	0.571	0.726
chr10	630362	631087	726	31	377	0.519	0.635
chr10	631639	632033	395	13	189	0.478	0.575
chr10	641074	641184	111	5	62	0.559	0.58
chr10	641965	643154	1190	57	681	0.572	0.589
chr10	651057	651390	334	15	176	0.527	0.651
chr10	654696	654806	111	10	72	0.649	0.928
chr10	655102	655504	403	19	229	0.568	0.632
chr10	657052	657121	70	8	48	0.686	0.988
chr10	660772	661215	444	27	281	0.633	0.607
chr10	661446	661630	185	11	116	0.627	0.605
chr10	662737	663999	1263	57	690	0.546	0.619
chr10	665907	666118	212	10	109	0.514	0.76
chr10	666545	666864	320	16	198	0.619	0.524
chr10	667302	667485	184	8	106	0.576	0.524
chr10	668153	669054	902	71	574	0.636	0.781
chr10	669215	669488	274	26	188	0.686	0.822
chr10	672320	672958	639	33	346	0.541	0.733
chr10	675081	675574	494	37	323	0.654	0.707
chr10	675878	676911	1034	81	683	0.661	0.718
chr10	683239	685190	1952	74	1047	0.536	0.56
chr10	687747	687938	192	11	112	0.583	0.677
chr10	699592	700415	824	27	451	0.547	0.438
chr10	701539	701695	157	14	94	0.599	1.077
chr10	701912	702034	123	10	81	0.659	0.753
chr10	702207	702594	388	27	250	0.644	0.671
chr10	706097	706281	185	13	90	0.486	1.279
chr10	707060	708331	1272	129	776	0.61	1.094
chr10	714510	715486	977	67	710	0.727	0.839
chr10	719420	719969	550	23	285	0.518	0.625
chr10	724491	726244	1754	231	1299	0.741	0.962
chr10	726695	727440	746	39	473	0.634	0.574
chr10	733275	734014	740	35	446	0.603	0.535
chr10	756077	756514	438	15	229	0.523	0.502
chr10	758627	760138	1512	58	801	0.53	0.548
chr10	762294	763163	870	68	534	0.614	0.919
chr10	768073	768285	213	11	121	0.568	0.64
chr10	771906	772190	285	13	185	0.649	0.441
chr10	773077	773432	356	16	228	0.64	0.446
chr10	774008	774289	282	13	182	0.645	0.451
chr10	782051	782226	176	15	104	0.591	0.978
chr10	809603	810511	909	37	559	0.615	0.444
chr10	810735	811501	767	40	460	0.6	0.582
chr10	812784	813839	1056	54	693	0.656	0.497
chr10	819343	819472	130	11	95	0.731	0.681
chr10	819799	821279	1481	109	1057	0.714	0.592
chr10	822625	823426	802	41	506	0.631	0.519
chr10	824371	824572	202	13	116	0.574	0.782
chr10	824847	825889	1043	57	661	0.634	0.545
chr10	829649	830203	555	46	307	0.553	1.119
chr10	840845	842024	1180	73	769	0.652	0.589
chr10	843010	843342	333	16	168	0.505	0.759
chr10	845676	845948	273	20	163	0.597	0.825
chr10	846385	846583	199	9	113	0.568	0.565
chr10	850643	850997	355	24	201	0.566	0.844
chr10	966538	968993	2456	250	1821	0.741	0.793
chr10	984934	985281	348	15	192	0.552	0.601
chr10	990298	990641	344	21	213	0.619	0.717
chr10	995528	995893	366	21	222	0.607	1.821
chr10	1001183	1001468	286	18	170	0.594	0.723
chr10	1011516	1012581	1066	68	601	0.564	0.83
chr10	1023860	1024894	1035	88	693	0.67	0.764
chr10	1047868	1048052	185	7	97	0.524	0.564
chr10	1073123	1073312	190	8	105	0.553	0.556
chr10	1074818	1074937	120	7	81	0.675	0.526
chr10	1084264	1085580	1317	139	879	0.667	0.963
chr10	1092176	1093342	1167	114	814	0.698	0.828
chr10	1110423	1110894	472	27	278	0.589	0.69
chr10	1119680	1119815	136	10	85	0.625	0.754
chr10	1125616	1125740	125	10	72	0.576	1.136
chr10	1132233	1132752	520	25	279	0.537	0.678
chr10	1137630	1138272	643	48	375	0.583	0.883
chr10	1139661	1139762	102	10	67	0.657	0.926
chr10	1146482	1146617	136	9	82	0.603	0.785
chr10	1156428	1157028	601	33	319	0.531	0.785
chr10	1157737	1157838	102	10	63	0.618	1.03
chr10	1164751	1165008	258	16	164	0.636	0.623
chr10	1165670	1165781	112	6	63	0.562	0.699
chr10	1188658	1188928	271	14	178	0.657	0.483
chr10	1190124	1190278	155	8	94	0.606	0.561
chr10	1195120	1195835	716	52	447	0.624	0.749
chr10	1196614	1196729	116	9	72	0.621	0.806
chr10	1199363	1199472	110	14	72	0.655	1.192
chr10	1203310	1203490	181	10	80	0.442	1.167
chr10	1209176	1209428	253	21	158	0.625	0.851
chr10	1212477	1212722	246	10	126	0.512	0.62
chr10	1218357	1218494	138	11	93	0.674	0.709
chr10	1218949	1219069	121	11	65	0.537	1.26
chr10	1220836	1221517	682	37	384	0.563	0.685
chr10	1225771	1226130	360	18	206	0.572	0.619
chr10	1235458	1235588	131	10	98	0.748	0.548
chr10	1235888	1236046	159	14	109	0.686	0.768
chr10	1237465	1237714	250	13	149	0.596	0.587
chr10	1238720	1238825	106	8	51	0.481	1.329
chr10	1241701	1242801	1101	58	665	0.604	0.579
chr10	1246369	1246671	303	13	155	0.512	0.658
chr10	1249970	1250514	545	30	331	0.607	0.599
chr10	1252943	1253393	451	25	285	0.632	0.56
chr10	1271538	1272084	547	23	348	0.636	0.563
chr10	1274161	1274423	263	20	182	0.692	0.651
chr10	1275330	1275537	208	12	104	0.5	0.952
chr10	1276380	1276761	382	21	207	0.542	0.752
chr10	1297603	1298384	782	61	572	0.731	0.583
chr10	1334415	1334589	175	13	100	0.571	0.916
chr10	1358988	1360416	1429	87	977	0.684	0.612
chr10	1372405	1373128	724	45	441	0.609	0.773
chr10	1373551	1373850	300	16	175	0.583	0.696
chr10	1382631	1383205	575	17	271	0.471	0.588
chr10	1391881	1392428	548	24	320	0.584	0.514
chr10	1394611	1396220	1610	173	1151	0.715	0.85
chr10	1400515	1400628	114	6	66	0.579	0.633
chr10	1406041	1406250	210	23	138	0.657	1.046
chr10	1406546	1407010	465	31	278	0.598	0.747
chr10	1427887	1428231	345	14	205	0.594	0.462
chr10	1428467	1428565	99	11	71	0.717	0.947
chr10	1428730	1430581	1852	97	1248	0.674	0.498
chr10	1433194	1433879	686	33	427	0.622	0.497
chr10	1434483	1434810	328	13	168	0.512	0.613
chr10	1435095	1435387	293	18	195	0.666	0.555
chr10	1436938	1437232	295	12	148	0.502	0.647
chr10	1442997	1443130	134	7	81	0.604	0.576
chr10	1443842	1444006	165	12	98	0.594	0.828
chr10	1444225	1444477	253	14	143	0.565	0.723
chr10	1444848	1444946	99	5	61	0.616	0.589
chr10	1452896	1453130	235	10	128	0.545	0.575
chr10	1492612	1492818	207	12	109	0.527	0.848
chr10	1495595	1495702	108	8	60	0.556	0.987
chr10	1496191	1497386	1196	68	772	0.645	0.546
chr10	1497656	1497739	84	8	57	0.679	0.834
chr10	1499144	1499412	269	9	132	0.491	0.56
chr10	1499578	1500107	530	19	274	0.517	0.538
