txname	uhr 1	uhr 2	uhr 3	uhr 4	brain 1	brain 2	brain 3	brain 4	seqnames	start	end	width	strand	tx_id
NM_000015	0.00050608	0.00050608	0.00050608	0.00050608	0.00047983	0.00047983	0.00049691	0.00047983	chr8	18293035	18303003	9969	+	14864
NM_000016	0.09940363	0.10075339	0.09759666	0.09666515	0.10770836	0.11499679	0.10818324	0.10218127	chr1	75962631	76001943	39313	+	2068
NM_000017	0.4261859	0.39204842	0.41912288	0.41637033	0.23662727	0.21937891	0.23655393	0.22772484	chr12	119647954	119662194	14241	+	24452
NM_000018	1.18133325	1.13902946	1.21690776	1.1869676	0.56073912	0.53739566	0.54525304	0.54158979	chr17	7063877	7069309	5433	+	29239
NM_000019	0.63272198	0.39273629	0.61480354	0.65013737	0.42458653	0.42372095	0.43150048	0.43687984	chr11	107497468	107524101	26634	+	22471
NM_000022	2.22890674	2.25992942	2.236086	2.29541133	0.09470504	0.10498113	0.09473449	0.09626826	chr20	42681577	42713790	32214	-	34658
NM_000033	0.0807733	0.08576749	0.08503281	0.0863433	0.01097882	0.01108401	0.01352294	0.01197386	chrX	152643517	152663410	19894	+	18745
NM_000038	0.33451142	0.31760765	0.36188815	0.35171785	2.07011494	2.07244963	2.08666681	2.02455428	chr5	112101455	112209835	108381	+	9242
NM_000042	2.32305269	2.2961762	2.38420516	2.28861313	0.00048939	0.00048939	0.00048939	0.00093117	chr17	61638609	61656018	17410	-	30620
NM_000049	0.00599798	0.00690935	0.00610357	0.00701424	0.3346858	0.3367324	0.35207271	0.33348264	chr17	3326046	3349450	23405	+	29073
NM_000057	0.21657312	0.22168929	0.21929858	0.2311144	0.0476023	0.04655249	0.04295244	0.04702968	chr15	89061583	89159690	98108	+	26368
NM_000059	0.21119748	0.2203749	0.21565921	0.2068126	0.00366099	0.00273311	0.0031794	0.00336581	chr13	31787617	31871809	84193	+	24667
NM_000060	0.10143431	0.10287929	0.11520141	0.10106862	0.23938642	0.24800611	0.24646892	0.25932853	chr3	15618259	15662329	44071	+	6723
NM_000075	3.76053811	3.93016945	3.97592614	4.00948904	0.4415732	0.43252348	0.46288505	0.44630684	chr12	56428270	56432431	4162	-	24117
NM_000084	0.05988845	0.06483264	0.06332949	0.0638351	0.02671003	0.02926226	0.03141666	0.0308623	chrX	49718955	49750632	31678	+	17505
NM_000088	0.53116734	0.55068701	0.59118824	0.55787071	0.01010352	0.01169963	0.00968967	0.01149338	chr17	45616456	45633999	17544	-	30363
NM_000096	1.04462698	1.13018768	1.03646832	1.05008758	0.26475504	0.2789513	0.26725641	0.27641798	chr3	150372980	150422522	49543	-	7541
